PlayerID,Name,College,Draft_Year,Age,Height,Weight,Draft_Decade
309914,Timothe Luwawu-Cabarrot,None,2016,23.0,198.12,90.7184,2010s
309915,Timofey Mozgov,None,Undrafted,31.0,215.9,124.7378,Undrafted
309916,Tim Quarterman,Louisiana State,Undrafted,23.0,198.12,86.18248,Undrafted
309917,Tim Hardaway Jr.,Michigan,2013,26.0,198.12,92.98635999999999,2010s
309918,Tim Frazier,None,Undrafted,27.0,185.42,77.11064,Undrafted
309919,Thon Maker,None,2016,21.0,215.9,101.151016,2010s
309920,Thomas Bryant,Indiana,2017,20.0,208.28,112.490816,2010s
309921,Thaddeus Young,Georgia Tech,2007,30.0,203.2,104.32616,2000s
309922,Thabo Sefolosha,None,2006,34.0,200.66,99.79024,2000s
309923,Matthew Dellavedova,St. Mary's (CA),Undrafted,27.0,193.04,89.811216,Undrafted
309924,Matt Williams Jr.,Central Florida,Undrafted,24.0,195.58,95.25432,Undrafted
309925,Treveon Graham,Va Commonwealth,Undrafted,24.0,195.58,99.336648,Undrafted
309926,Mason Plumlee,Duke,2013,28.0,210.82,115.66596000000001,2010s
309927,Joe Young,Oregon,2015,26.0,187.96,83.91452,2010s
309928,Joe Johnson,Arkansas,2001,37.0,200.66,108.86208,2000s
309929,Joe Ingles,None,Undrafted,30.0,203.2,102.511792,Undrafted
309930,Joe Harris,Virginia,2014,26.0,198.12,99.336648,2010s
309931,Jodie Meeks,Kentucky,2009,30.0,193.04,95.25432,2000s
309932,Joakim Noah,Florida,2007,33.0,210.82,104.32616,2000s
309933,Jimmy Butler,Marquette,2011,28.0,203.2,107.047712,2010s
309934,Jerryd Bayless,Arizona,2008,29.0,190.5,90.7184,2000s
309935,Joel Bolomboy,Weber State,2016,24.0,205.74,106.59411999999999,2010s
309936,Jerian Grant,Notre Dame,2015,25.0,193.04,89.811216,2010s
309937,Jeremy Lamb,Connecticut,2012,26.0,195.58,83.91452,2010s
309938,Jeremy Evans,Western Kentucky,2010,30.0,205.74,90.7184,2010s
309939,Jerami Grant,Syracuse,2014,24.0,205.74,99.79024,2010s
309940,Jeff Withey,Kansas,2013,28.0,213.36,104.32616,2010s
309941,Jeff Teague,Wake Forest,2009,30.0,187.96,85.728888,2000s
309942,Jeff Green,Georgetown,2007,31.0,205.74,106.59411999999999,2000s
309943,Jayson Tatum,Duke,2017,20.0,203.2,92.98635999999999,2010s
309944,Jaylen Morris,Molloy,Undrafted,22.0,195.58,83.91452,Undrafted
